,Nome,Genero,Idade,Raca,Endereco,Formacao,Estado,Tempo_de_casa,Departamento,Senioridade,Estado_UF,Faixa_Etaria
1,Eleonora Arilda Penedo Gomes de Padilha,F,34,pardo,"9155 Harold Oval Sellersside, FL 21337",Ensino Médio,Santa Catarina,12,Compras,Analista Pleno,SC,33-37
2,Elisângela Gabrielle de Osório,F,26,pardo,"941 Martin Manor Lake Isaiahtown, FM 43797",Ensino Médio,Pará,6,Contabilidade,Analista Júnior,PA,23-27
3,José Túlio de Cabral,M,35,pardo,"110 Davis Ridges Mejiaville, LA 17095",Ensino Médio,Santa Catarina,5,Vendas,Analista Pleno,SC,33-37
4,Ezequiel Edivaldo de Medeiros Sonao,M,24,pardo,"48010 Wilson Glen Apt. 749 Smithborough, NV 00864",Ensino Superior,Tocantins,4,Administrativo,Gerente,TO,23-27
5,Fagner Josiel dos Santos,M,21,pardo,"8666 Ramos Ports Apt. 070 Sandraport, MN 33570",Ensino Superior,Ceará,5,Recursos Humanos,Analista Júnior,CE,18-22
6,Magali Luzimara da Silva,F,49,pardo,"073 Padilla Dam Port Joshualand, MA 65043",Ensino Superior,São Paulo,3,Contabilidade,Analista Pleno,SP,48-52
7,Victor Plínio Shufrouze,M,29,pardo,"112 Rose Corners Stanleyberg, IA 13588",Pós graduação,Ceará,9,Compras,Analista Sênior,CE,28-32
8,Laércio Rossi,M,35,pardo,"508 Sean Road Apt. 754 West Thomaschester, AL 12134",Ensino Superior,Rondônia,8,Operações,Analista Júnior,RO,33-37
9,Francisco ngelo de Toledo Seixas,M,40,pardo,"9762 Goodwin Plain Apt. 560 Schroedershire, PA 83138",Mestrado,Amapá,1,Administrativo,Analista Pleno,AP,38-42
10,Fabrício Rangel de Gonçalves dos Santos,M,33,pardo,"4979 Dana Station Apt. 126 Michellefurt, HI 22198",Ensino Superior,Minas Gerais,3,Desenvolvimento de Produtos,Analista Pleno,MG,33-37
11,Laila da Silva,F,54,pardo,"0381 Cindy Common Amberfurt, LA 23470",Pós graduação,São Paulo,5,Recursos Humanos,Analista Sênior,SP,53-57
12,Nivaldo Ademar Valverde dos Santos,M,34,pardo,"299 Rebecca Tunnel Apt. 706 Priceside, NC 29650",Mestrado,Acre,3,Administrativo,Analista Júnior,AC,33-37
13,Mariano Rosa da Graça Neto,M,18,preto,"21200 Fox Ford Apt. 942 New Makayla, NH 94123",Pós graduação,Santa Catarina,8,Administrativo,Analista Júnior,SC,18-22
14,Eulália Brasil de Bezerra,F,35,preto,"9490 Smith Corners Apt. 757 Mooreport, NE 79040",Doutorado,Roraima,6,Contabilidade,Analista Júnior,RR,33-37
15,Marlon Rafael do Nascimento Uason,M,19,branco,"6783 Long Isle Apt. 558 Port Ashleyport, AK 35622",Ensino Médio,Amazonas,6,Administrativo,Analista Júnior,AM,18-22
16,César da Paraíba,M,37,branco,"9111 Catherine Ferry Stephanieview, KY 14356",Mestrado,São Paulo,8,Desenvolvimento de Produtos,Analista Júnior,SP,33-37
17,Toninho Nivaldo Siato,M,29,branco,"183 Kristy Crossroad Port Isaacfort, NJ 46207",Pós graduação,Roraima,3,Administrativo,Analista Sênior,RR,28-32
18,Fabiano Táles Negrão,M,38,pardo,"20953 Aaron Light North Veronica, MP 92602",Doutorado,Minas Gerais,3,Administrativo,Analista Sênior,MG,38-42
19,Adônis Otto de Aguiar da Lira,M,18,branco,"688 Amber Hill Ricardofort, IN 47473",Ensino Médio,Ceará,5,Contabilidade,Gerente,CE,18-22
20,Álvaro Cristiano Schmidt,M,41,pardo,"850 Christine Parkway Suite 615 New Gerald, WI 70157",Ensino Superior,Paraná,5,Administrativo,Analista Júnior,PR,38-42
21,Arthur Uckimovic Júnior,M,46,branco,"4311 Johnson Cliff Apt. 940 West Valeriefurt, NC 40705",Ensino Superior,Santa Catarina,3,Recursos Humanos,Analista Pleno,SC,43-47
22,Emílio Bahia,M,49,pardo,"Unit 7349 Box 0930 DPO AE 66646",Doutorado,Acre,6,Contabilidade,Estagiário,AC,48-52
23,Mariano de Angola Onmmylte Neto,M,26,pardo,"PSC 5733, Box 2148 APO AA 45875",Ensino Superior,Bahia,8,Vendas,Analista Júnior,BA,23-27
24,Milton Eugênio Shetum de Figueira,M,31,branco,"363 Stephens Lakes South Kaylee, FL 19378",Ensino Médio,Amazonas,0,Operações,Estagiário,AM,28-32
25,Ricardo Diogo da Luz Nile Neto,M,29,branco,"8463 Mike Mews Suite 566 New Matthewbury, FM 65011",Ensino Superior,Piauí,7,Marketing,Analista Júnior,PI,28-32
26,Aline de Uchôa,F,31,pardo,"2523 Thomas Hollow Suite 146 East Robert, KS 57933",Ensino Superior,São Paulo,4,Contabilidade,Estagiário,SP,28-32
27,Heloísa Laura Eala Aisvic,F,35,preto,"10727 Ronald Ports Suite 185 South Josephmouth, NE 35245",Ensino Superior,São Paulo,5,Compras,Analista Júnior,SP,33-37
28,Henrique Inácio Lussolson Tegego,M,32,branco,"586 Novak Port Suite 474 South Shannon, DE 72454",Ensino Superior,Goiás,5,TI,Analista Sênior,GO,28-32
29,Milene Thaís Aciz,F,48,preto,"27666 Laura Rapids Apt. 387 Bartonbury, DC 19956",Ensino Superior,Rio de Janeiro,3,Administrativo,Gerente,RJ,48-52
30,Patrícia de Miranda Xizu,F,29,branco,"86187 Mcdonald Path Hicksville, PA 91032",Ensino Superior,Paraná,0,Administrativo,Gerente,PR,28-32
32,Rafaela Paim do Amaral,F,39,pardo,"3776 Anna Road Apt. 381 North Krystaltown, WV 12500",Mestrado,Paraná,4,Recursos Humanos,Gerente,PR,38-42
33,Berenice Tono,F,18,branco,"Unit 7422 Box 5042 DPO AA 13732",Mestrado,Piauí,5,Marketing,Analista Júnior,PI,18-22
35,Yuri Góis Dutra,M,44,branco,"42251 Downs Land Apt. 050 Medinaton, LA 83729",Ensino Superior,Pernambuco,4,Operações,Gerente,PE,43-47
36,Edson Felipe Ieldi Girru,M,47,pardo,"99955 Dennis Rest North Michael, IN 65588",Ensino Superior,Ceará,2,Administrativo,Estagiário,CE,43-47
37,Ali Túlio de Miranda,M,33,branco,"3257 Susan Shores Ashleychester, VA 83465",Ensino Superior,Ceará,4,Compras,Analista Pleno,CE,33-37
38,Ayrton Ricardo do Espírito Santo Gomes,M,31,pardo,"9406 Steele Camp Suite 614 Craigton, CA 14281",Ensino Superior,Tocantins,6,Desenvolvimento de Produtos,Analista Pleno,TO,28-32
39,Sâmia Juliana do Espírito Santo de Tavares,F,27,preto,"346 Daniel Tunnel New Kimberlyland, MO 07735",Ensino Médio,Mato Grosso,0,Administrativo,Analista Júnior,MT,23-27
40,Zuleide Castelo,F,28,preto,"132 Elizabeth Knoll Suite 698 West Jasonstad, NM 79341",Ensino Superior,Rio de Janeiro,8,Marketing,Analista Sênior,RJ,28-32
41,Renata Maria de Espanha Chearndeã do Amaral,F,29,branco,"110 Michael Ramp Apt. 827 Victoriabury, GA 39019",Mestrado,Amapá,1,Compras,Analista Júnior,AP,28-32
42,Cléber dos Santos de Carvalho,M,34,branco,"00389 Martin Way Lake Richard, MP 53169",Ensino Superior,Pernambuco,0,TI,Analista Sênior,PE,33-37
43,Fabiano Gomes,M,31,preto,"91608 Jacob Corners Apt. 700 Scotttown, OR 60821",Ensino Superior,Rio de Janeiro,8,Compras,Analista Júnior,RJ,28-32
