id_colaborador,nome,id_genero,idade,id_raca,id_formacao,id_estado,tempo_de_casa,id_departamento,id_senioridade,id_regiao,id_faixa_idade,id_faixa_tempo_de_casa
1,Eleonora Arilda Penedo Gomes de Padilha,2,34,4,1,24,12,2,2,5,3,5
3,José Túlio de Cabral,1,35,4,1,24,5,9,2,5,3,3
13,Mariano Rosa da Graça Neto,1,18,5,3,24,8,1,1,5,1,4
21,Arthur Uckimovic Júnior,1,46,2,2,24,3,7,2,5,4,2
51,Dilma Berenice Vyratu Rage de Barbosa,2,29,2,1,24,2,3,1,5,2,2
110,Décio Aldo Tabeiov,1,34,4,2,24,7,6,1,5,3,4
123,Beto Matheus de Cerqueira,1,20,2,2,24,6,2,6,5,1,3
126,Elias Aécio Thiel de Garcia Borowahe,1,24,2,2,24,3,5,2,5,2,2
137,Maurício da Lira,1,22,4,2,24,6,7,5,5,2,3
177,Sara Schneider,2,24,2,2,24,7,1,1,5,2,4
196,Luke dos Santos,1,31,4,2,24,0,3,2,5,3,1
210,Plínio da Silva Júnior,1,28,2,2,24,5,8,2,5,2,3
251,Artur Bartolomeu dos Santos,1,30,2,2,24,1,2,6,5,2,2
268,Dante Inuzefaman Naves,1,20,2,3,24,5,3,1,5,1,3
303,Ademar Omenclos de Monteiro,1,25,2,1,24,5,4,2,5,2,3
312,Rafael Luke Rosgern,1,52,2,2,24,11,8,3,5,5,5
329,Lara Preto,2,29,4,2,24,8,7,3,5,2,4
337,Juliano Ogruoe,1,30,2,2,24,11,2,2,5,2,5
387,Alexandre de Fraga da Silva,1,27,2,1,24,12,4,2,5,2,5
440,Gilson Juliano Edoer da Graça Buarque Terceiro,1,42,2,2,24,7,5,3,5,4,4
451,Milton Samuel Banhos,1,44,4,2,24,7,1,3,5,4,4
461,Robson Coutinho,1,40,2,3,24,5,8,2,5,3,3
472,Ariana Branco Torres Raemão,2,29,2,1,24,6,4,5,5,2,3
477,Daniela Jieozão Oculeov,2,39,2,1,24,8,3,2,5,3,4
482,Felipe Edinaldo de Barbosa Goscke,1,49,5,2,24,7,8,2,5,4,4
485,Avelino de Pimentel,1,20,4,2,24,9,2,1,5,1,4
486,Arthur de Barbosa,1,27,2,2,24,3,8,2,5,2,2
506,Áureo Moacyr da Rocha,1,27,4,2,24,4,7,1,5,2,3
545,Dário Gomes de Alcântara,1,28,4,4,24,1,1,6,5,2,2
565,Hércules dos Santos Júnior,1,36,2,2,24,5,1,1,5,3,3
588,Jonas Dopao,1,21,2,4,24,7,9,2,5,2,4
599,Eric Félix Behera Reozvomson Eazgian,1,18,4,2,24,3,2,5,5,1,2
615,Quico Hugo Pumihoe Olje,1,28,4,1,24,6,2,3,5,2,3
627,Hildebrando Gomebo de Mendonça Júnior,1,22,5,5,24,8,6,2,5,2,4
632,Augusto da Cruz Zujitsu,1,48,4,3,24,6,1,6,5,4,3
641,Melanie Sanches de Siqueira,2,22,2,2,24,3,1,1,5,2,2
703,Jackson de Matos Pinto,1,31,2,2,24,7,4,1,5,3,4
717,Leo Jonas de Sobral Pohi,1,30,4,2,24,3,3,2,5,2,2
724,Hugo da Silva,1,42,5,2,24,5,1,3,5,4,3
751,Paulo Bruno Ilaga Azeman de Drummond,1,30,2,2,24,1,5,6,5,2,2
757,Benedito Pablo da Encarnação de Santana Júnior,1,46,4,2,24,9,8,5,5,4,4
759,Eric Soasvo Bexier Cagrys,1,29,2,2,24,1,9,2,5,2,2
765,Alex Queno,1,19,5,2,24,11,7,2,5,1,5
768,Décio Cleberson de Pascoal,1,41,4,1,24,11,4,6,5,4,5
769,Damião da Silva,1,22,4,2,24,5,4,5,5,2,3
789,Luciano Xavier da Silva Yzne,1,34,4,3,24,3,2,1,5,3,2
799,Caio Charles de Menezes Yrngu,1,18,5,2,24,2,1,1,5,1,2
808,Iago Gomes,1,36,4,2,24,3,1,3,5,3,2
836,Zeca Demilson de Pacheco Júnior,1,33,4,2,24,10,3,5,5,3,5
849,Lana Shui,2,20,4,2,24,10,6,2,5,1,5
886,Rosa Sote Sizta,2,26,4,4,24,6,6,3,5,2,3
893,Bartolomeu Mome Banhos,1,32,4,2,24,10,8,3,5,3,5
949,Washington da Silva de Linhares,1,39,4,2,24,7,2,5,5,3,4
950,Aldo Tomáz Ua Boeda,1,34,4,2,24,0,9,1,5,3,1
954,Ângela Inshy Prates,2,28,4,2,24,6,8,1,5,2,3
955,Roberto Paulo de Gonçalves,1,28,2,2,24,3,6,2,5,2,2
958,Gislaine Rossi Castelo Terceiro,2,45,1,2,24,7,5,1,5,4,4
974,Jonathan Carlos Erntli,1,27,2,2,24,7,5,1,5,2,4
977,Fabrício Nbozoze Júnior,1,31,4,2,24,2,5,3,5,3,2
1024,Augusto de Souza,1,42,2,2,24,8,2,1,5,4,4
1062,Marina de Brito Rebapihi,2,29,2,3,24,9,2,6,5,2,4
1115,Lino Odurro Cispeson,1,30,4,2,24,4,8,2,5,2,3
1135,Armando Vitor Branco de Paula da Nóbrega,1,22,2,2,24,5,1,1,5,2,3
1140,Tiago Humberto de Ortiz Ruaru,1,38,4,2,24,5,4,6,5,3,3
1155,Jardel Nilo da Silva,1,24,4,5,24,4,5,2,5,2,3
1185,Anne Walderice Emiugo de Muniz,2,20,2,5,24,4,7,3,5,1,3
1193,Xerxes de Bezerra,1,31,4,2,24,6,4,1,5,3,3
1201,José da Costa,1,27,2,3,24,10,2,5,5,2,5
1204,Chico Moisés de Azevedo dos Santos,1,36,4,2,24,4,8,1,5,3,3
1212,Hilda Epodo das Neves de Souza,2,31,4,3,24,0,8,1,5,3,1
1255,Tiago Jack de Meireles,1,34,4,2,24,10,7,2,5,3,5
1263,Andressa Lilian de São Pedro Guepuno Freire,2,53,2,2,24,5,6,1,5,5,3
1275,Vinícius Saulo Teles de Barbosa Osaebi,1,28,2,2,24,2,6,3,5,2,2
1304,Cibele Márcia de Figueira,2,31,2,2,24,6,1,3,5,3,3
1305,Eduardo Lino Azfy de Macedo Júnior,1,23,4,1,24,4,1,3,5,2,3
1331,Alex de França Bligrilora Runiri,1,28,2,4,24,12,1,2,5,2,5
1340,Diogo Fernando Puha da Costa,1,40,2,3,24,11,2,2,5,3,5
1363,Ronaldo Ivan Fuihi de Souza,1,23,4,3,24,5,4,2,5,2,3
1387,Robert da Silva,1,29,2,2,24,5,9,6,5,2,3
1417,Albino dos Santos Noururuão de Souza,1,31,2,2,24,5,8,2,5,3,3
1436,Jorge de França Agro Oaon,1,38,2,2,24,7,1,2,5,3,4
1443,Anne de Cerqueira Seixas,2,24,4,3,24,2,7,3,5,2,2
1467,Luciano Vinícius Franco Kulmorripi Pinhão Júnior,1,20,2,2,24,11,2,1,5,1,5
1484,Ronaldo de Lemos da Silva,1,30,4,2,24,3,7,1,5,2,2
1513,Xavier Tasazsin,1,30,2,2,24,5,6,1,5,2,3
1549,Benjamin de Souza,1,19,2,2,24,6,3,6,5,1,3
1569,Zeca Tristão de Almeida Ecatuov,1,35,5,3,24,9,8,1,5,3,4
1577,Francisco Daniel da Silva,1,25,2,2,24,9,1,1,5,2,4
1596,Joel Danilo Faplo,1,40,2,4,24,2,9,2,5,3,2
1612,Orlando Karl Schneider de Pereira,1,57,4,2,24,3,7,1,5,5,2
1613,Vânia Maísa de Alencar da Silva Gaetsugi,2,44,4,2,24,3,5,3,5,4,2
1627,Eunice da Mata,2,22,2,2,24,4,5,1,5,2,3
1654,Cléber Pari Guhozui,1,39,2,2,24,3,9,6,5,3,2
1689,Bento Matheus Pinhão dos Santos,1,37,4,2,24,8,9,2,5,3,4
1699,Matheus da Silva,1,39,4,3,24,4,1,3,5,3,3
1708,Thiago Marinho,1,33,2,2,24,5,3,1,5,3,3
1717,Quirino Junior Fofeme,1,22,2,2,24,9,3,3,5,2,4
1773,Isaiane Kiara Yean Dewo Baputazu,2,20,2,2,24,5,4,1,5,1,3
1777,Juliano Jardel de Gusmões,1,20,4,5,24,7,2,1,5,1,4
1778,Lidiane Ana de Lemos Iycroziman,2,34,2,2,24,2,7,2,5,3,2
1796,Carlos Bento de Souza Tristão Júnior,1,46,4,2,24,6,6,6,5,4,3
1803,Sérgio Herrera,1,40,2,2,24,6,7,1,5,3,3
1809,Gilson de Sampaio Eboson,1,29,4,5,24,7,5,6,5,2,4
1812,Ivan Ederson Fumepuo Júnior,1,56,2,4,24,6,1,6,5,5,3
1818,André da Lira,1,40,4,1,24,7,2,1,5,3,4
1819,Samanta Olívia Moreno,2,29,4,2,24,4,8,5,5,2,3
1846,Fátima Suzana da Encarnação de Barros,2,41,4,3,24,9,7,5,5,4,4
1867,Juliano Juan Ofabosse,1,51,4,1,24,6,3,3,5,5,3
1930,Eulália de Figueira,2,25,3,2,24,5,5,2,5,2,3
1947,João Alberto Lezu,1,53,2,3,24,12,5,1,5,5,5
1950,Valeska Josilda Iusvic,2,34,4,2,24,4,8,1,5,3,3
1958,Orlando Pires,1,27,5,2,24,8,5,3,5,2,4
1962,Inácio Roger de Oliva,1,37,2,2,24,5,1,6,5,3,3
1976,Tatiana de Madureira,2,23,4,2,24,7,2,3,5,2,4
1978,Omar de Assis,1,28,2,3,24,6,4,3,5,2,3
1986,Severino Mike Preto Pamos,1,21,4,5,24,6,1,1,5,2,3
1992,Tomáz Adílson dos Santos Yavic,1,21,3,2,24,4,6,3,5,2,3
2002,Jairo Boscho,1,30,4,3,24,4,4,2,5,2,3
2031,Juliano Moisés da Silva Egra,1,18,4,5,24,4,9,3,5,1,3
