id,Nome,Genero,Idade,Raça,Endereço,Formação,Estado,Tempo de casa,Departamento,Senioridade
1,Eleonora Arilda Penedo Gomes de Padilha,Fem,34.0,pardo,"9155 Harold Oval
Sellersside, FL 21337",Ensino Médio,Santa Catarina,12.0,Compras,Analista Pleno
2,Elisângela Gabrielle de Osório,Fem,26.0,pardo,"941 Martin Manor
Lake Isaiahtown, FM 43797",Ensino Médio,Pará,6.0,Contabilidade,Analista Júnior
3,José Túlio de Cabral,Masc,35.0,pardo,"110 Davis Ridges
Mejiaville, LA 17095",Ensino Médio,Santa Catarina,5.0,Vendas,Analista Pleno
4,Ezequiel Edivaldo de Medeiros Sonao,Masc,24.0,pardo,"48010 Wilson Glen Apt. 749
Smithborough, NV 00864",Ensino Superior,Tocantins,4.0,Administrativo,Gerente
5,Fagner Josiel dos Santos,Masc,21.0,pardo,"8666 Ramos Ports Apt. 070
Sandraport, MN 33570",Ensino Superior,Ceará,5.0,Recursos Humanos,Analista Júnior
6,Magali Luzimara da Silva,Fem,49.0,pardo,"073 Padilla Dam
Port Joshualand, MA 65043",Ensino Superior,São Paulo,3.0,Contabilidade,Analista Pleno
7,Victor Plínio Shufrouze,Masc,29.0,pardo,"112 Rose Corners
Stanleyberg, IA 13588",Pós graduação,Ceará,9.0,Compras,Analista Sênior
8,Laércio Rossi,Masc,35.0,pardo,"508 Sean Road Apt. 754
West Thomaschester, AL 12134",Ensino Superior,Rondônia,8.0,Operações,Analista Júnior
9,Francisco Ângelo de Toledo Seixas,Masc,40.0,pardo,"9762 Goodwin Plain Apt. 560
Schroedershire, PA 83138",Mestrado,Amapá,1.0,Administrativo,Analista Pleno
10,Fabrício Rangel de Gonçalves dos Santos,Masc,33.0,pardo,"4979 Dana Station Apt. 126
Michellefurt, HI 22198",Ensino Superior,Minas Gerais,3.0,Desenvolvimento de Produtos,Analista Pleno
11,Laila da Silva,Fem,54.0,pardo,"0381 Cindy Common
Amberfurt, LA 23470",Pós graduação,São Paulo,5.0,Recursos Humanos,Analista Sênior
12,Nivaldo Ademar Valverde dos Santos,Masc,34.0,pardo,"299 Rebecca Tunnel Apt. 706
Priceside, NC 29650",Mestrado,Acre,3.0,Administrativo,Analista Júnior
13,Mariano Rosa da Graça Neto,Masc,18.0,preto,"21200 Fox Ford Apt. 942
New Makayla, NH 94123",Pós graduação,Santa Catarina,8.0,Administrativo,Analista Júnior
14,Eulália Brasil de Bezerra,Fem,35.0,preto,"9490 Smith Corners Apt. 757
Mooreport, NE 79040",Doutorado,Roraima,6.0,Contabilidade,Analista Júnior
15,Marlon Rafael do Nascimento Uason,Masc,19.0,branco,"6783 Long Isle Apt. 558
Port Ashleyport, AK 35622",Ensino Médio,Amazonas,6.0,Administrativo,Analista Júnior
16,César da Paraíba,Masc,37.0,branco,"9111 Catherine Ferry
Stephanieview, KY 14356",Mestrado,São Paulo,8.0,Desenvolvimento de Produtos,Analista Júnior
17,Toninho Nivaldo Siato,Masc,29.0,branco,"183 Kristy Crossroad
Port Isaacfort, NJ 46207",Pós graduação,Roraima,3.0,Administrativo,Analista Sênior
18,Fabiano Táles Negrão,Masc,38.0,pardo,"20953 Aaron Light
North Veronica, MP 92602",Doutorado,Minas Gerais,3.0,Administrativo,Analista Sênior
19,Adônis Otto de Aguiar da Lira,Masc,18.0,branco,"688 Amber Hill
Ricardofort, IN 47473",Ensino Médio,Ceará,5.0,Contabilidade,Gerente
20,Álvaro Cristiano Schmidt,Masc,41.0,pardo,"850 Christine Parkway Suite 615
New Gerald, WI 70157",Ensino Superior,Paraná,5.0,Administrativo,Analista Júnior
21,Arthur Uckimovic Júnior,Masc,46.0,branco,"4311 Johnson Cliff Apt. 940
West Valeriefurt, NC 40705",Ensino Superior,Santa Catarina,3.0,Recursos Humanos,Analista Pleno
22,Emílio Bahia,Masc,49.0,pardo,"Unit 7349 Box 0930
DPO AE 66646",Doutorado,Acre,6.0,Contabilidade,Estagiário
